ip,status,hostnames
192.168.1.1,up,"[{'name': '', 'type': ''}]"
192.168.1.10,up,"[{'name': '', 'type': ''}]"
192.168.1.11,up,"[{'name': '', 'type': ''}]"
192.168.1.12,up,"[{'name': '', 'type': ''}]"
192.168.1.17,up,"[{'name': '', 'type': ''}]"
192.168.1.19,up,"[{'name': '', 'type': ''}]"
192.168.1.2,up,"[{'name': '', 'type': ''}]"
192.168.1.21,up,"[{'name': '', 'type': ''}]"
192.168.1.3,up,"[{'name': '', 'type': ''}]"
192.168.1.5,up,"[{'name': '', 'type': ''}]"
192.168.1.9,up,"[{'name': '', 'type': ''}]"
