ip_address,status,hostnames,ports,open_ports_count
192.168.1.1,up,"[{'name': 'SAX1V1K.lan', 'type': 'PTR'}]","[{'port': 53, 'protocol': 'tcp', 'state': 'open', 'service': 'domain', 'service_details': 'domain ( (Cloudflare public DNS)', 'product': 'Cloudflare public DNS', 'version': '', 'extra_info': '', 'tunnel_type': '', 'ip_address': '192.168.1.1'}, {'port': 80, 'protocol': 'tcp', 'state': 'open', 'service': 'http', 'service_details': 'http ( (lighttpd 1.4.59)', 'product': 'lighttpd', 'version': '1.4.59', 'extra_info': '', 'tunnel_type': '', 'ip_address': '192.168.1.1'}, {'port': 443, 'protocol': 'tcp', 'state': 'open', 'service': 'http', 'service_details': 'http ( (lighttpd 1.4.59)', 'product': 'lighttpd', 'version': '1.4.59', 'extra_info': '', 'tunnel_type': '', 'ip_address': '192.168.1.1'}]",3
192.168.1.123,up,"[{'name': '', 'type': ''}]",[],0
192.168.1.127,up,"[{'name': 'SYSTEM01.lan', 'type': 'PTR'}]","[{'port': 135, 'protocol': 'tcp', 'state': 'open', 'service': 'msrpc', 'service_details': 'msrpc ( (Microsoft Windows RPC)', 'product': 'Microsoft Windows RPC', 'version': '', 'extra_info': '', 'tunnel_type': '', 'ip_address': '192.168.1.127'}, {'port': 139, 'protocol': 'tcp', 'state': 'open', 'service': 'netbios-ssn', 'service_details': 'netbios-ssn ( (Microsoft Windows netbios-ssn)', 'product': 'Microsoft Windows netbios-ssn', 'version': '', 'extra_info': '', 'tunnel_type': '', 'ip_address': '192.168.1.127'}, {'port': 445, 'protocol': 'tcp', 'state': 'open', 'service': 'microsoft-ds', 'service_details': 'microsoft-ds', 'product': '', 'version': '', 'extra_info': '', 'tunnel_type': '', 'ip_address': '192.168.1.127'}]",3
192.168.1.130,up,"[{'name': '', 'type': ''}]",[],0
192.168.1.145,up,"[{'name': 'RPT013.lan', 'type': 'PTR'}]","[{'port': 23, 'protocol': 'tcp', 'state': 'open', 'service': 'telnet', 'service_details': 'telnet', 'product': '', 'version': '', 'extra_info': '', 'tunnel_type': '', 'ip_address': '192.168.1.145'}]",1
192.168.1.152,up,"[{'name': 'BRWDCE99452FC3A.lan', 'type': 'PTR'}]","[{'port': 80, 'protocol': 'tcp', 'state': 'open', 'service': 'http', 'service_details': 'http ( (Debut embedded httpd 1.30; Brother/HP printer http admin)', 'product': 'Debut embedded httpd', 'version': '1.30', 'extra_info': 'Brother/HP printer http admin', 'tunnel_type': '', 'ip_address': '192.168.1.152'}, {'port': 443, 'protocol': 'tcp', 'state': 'open', 'service': 'http', 'service_details': 'http ( (Debut embedded httpd 1.30; Brother/HP printer http admin)', 'product': 'Debut embedded httpd', 'version': '1.30', 'extra_info': 'Brother/HP printer http admin', 'tunnel_type': '', 'ip_address': '192.168.1.152'}, {'port': 515, 'protocol': 'tcp', 'state': 'open', 'service': 'printer', 'service_details': 'printer', 'product': '', 'version': '', 'extra_info': '', 'tunnel_type': '', 'ip_address': '192.168.1.152'}, {'port': 631, 'protocol': 'tcp', 'state': 'open', 'service': 'http', 'service_details': 'http ( (Debut embedded httpd 1.30; Brother/HP printer http admin)', 'product': 'Debut embedded httpd', 'version': '1.30', 'extra_info': 'Brother/HP printer http admin', 'tunnel_type': '', 'ip_address': '192.168.1.152'}]",4
192.168.1.154,up,"[{'name': 'SYSTEM04.lan', 'type': 'PTR'}]","[{'port': 135, 'protocol': 'tcp', 'state': 'open', 'service': 'msrpc', 'service_details': 'msrpc ( (Microsoft Windows RPC)', 'product': 'Microsoft Windows RPC', 'version': '', 'extra_info': '', 'tunnel_type': '', 'ip_address': '192.168.1.154'}, {'port': 139, 'protocol': 'tcp', 'state': 'open', 'service': 'netbios-ssn', 'service_details': 'netbios-ssn ( (Microsoft Windows netbios-ssn)', 'product': 'Microsoft Windows netbios-ssn', 'version': '', 'extra_info': '', 'tunnel_type': '', 'ip_address': '192.168.1.154'}, {'port': 445, 'protocol': 'tcp', 'state': 'open', 'service': 'microsoft-ds', 'service_details': 'microsoft-ds', 'product': '', 'version': '', 'extra_info': '', 'tunnel_type': '', 'ip_address': '192.168.1.154'}]",3
192.168.1.168,up,"[{'name': '', 'type': ''}]",[],0
192.168.1.197,up,"[{'name': 'SYSTEM03-120.lan', 'type': 'PTR'}]","[{'port': 135, 'protocol': 'tcp', 'state': 'open', 'service': 'msrpc', 'service_details': 'msrpc ( (Microsoft Windows RPC)', 'product': 'Microsoft Windows RPC', 'version': '', 'extra_info': '', 'tunnel_type': '', 'ip_address': '192.168.1.197'}, {'port': 139, 'protocol': 'tcp', 'state': 'open', 'service': 'netbios-ssn', 'service_details': 'netbios-ssn ( (Microsoft Windows netbios-ssn)', 'product': 'Microsoft Windows netbios-ssn', 'version': '', 'extra_info': '', 'tunnel_type': '', 'ip_address': '192.168.1.197'}, {'port': 445, 'protocol': 'tcp', 'state': 'open', 'service': 'microsoft-ds', 'service_details': 'microsoft-ds', 'product': '', 'version': '', 'extra_info': '', 'tunnel_type': '', 'ip_address': '192.168.1.197'}]",3
192.168.1.204,up,"[{'name': '', 'type': ''}]",[],0
192.168.1.214,up,"[{'name': 'RingStickUpCam-82.lan', 'type': 'PTR'}]",[],0
192.168.1.220,up,"[{'name': 'SYSTEM03.lan', 'type': 'PTR'}]","[{'port': 135, 'protocol': 'tcp', 'state': 'open', 'service': 'msrpc', 'service_details': 'msrpc ( (Microsoft Windows RPC)', 'product': 'Microsoft Windows RPC', 'version': '', 'extra_info': '', 'tunnel_type': '', 'ip_address': '192.168.1.220'}, {'port': 139, 'protocol': 'tcp', 'state': 'open', 'service': 'netbios-ssn', 'service_details': 'netbios-ssn ( (Microsoft Windows netbios-ssn)', 'product': 'Microsoft Windows netbios-ssn', 'version': '', 'extra_info': '', 'tunnel_type': '', 'ip_address': '192.168.1.220'}, {'port': 445, 'protocol': 'tcp', 'state': 'open', 'service': 'microsoft-ds', 'service_details': 'microsoft-ds', 'product': '', 'version': '', 'extra_info': '', 'tunnel_type': '', 'ip_address': '192.168.1.220'}]",3
192.168.1.233,up,"[{'name': '', 'type': ''}]",[],0
