ip_address,status,hostnames,os_info,ports,open_ports_count,device_type
192.168.1.1,up,"[{'name': 'SAX1V1K.lan', 'type': 'PTR'}]","{'os_match': 'Linux 3.11 - 4.9', 'os_accuracy': 96, 'os_type': 'general purpose', 'os_vendor': 'Linux', 'os_family': 'Linux', 'os_generation': '3.X'}","[{'port': 53, 'protocol': 'tcp', 'state': 'open', 'service': 'domain', 'service_details': 'domain ( (Cloudflare public DNS)', 'product': 'Cloudflare public DNS', 'version': '', 'extra_info': '', 'tunnel_type': '', 'ip_address': '192.168.1.1'}, {'port': 80, 'protocol': 'tcp', 'state': 'open', 'service': 'http', 'service_details': 'http ( (lighttpd 1.4.59)', 'product': 'lighttpd', 'version': '1.4.59', 'extra_info': '', 'tunnel_type': '', 'ip_address': '192.168.1.1'}, {'port': 443, 'protocol': 'tcp', 'state': 'open', 'service': 'http', 'service_details': 'http ( (lighttpd 1.4.59)', 'product': 'lighttpd', 'version': '1.4.59', 'extra_info': '', 'tunnel_type': '', 'ip_address': '192.168.1.1'}]",3,web_server
192.168.1.123,up,"[{'name': '', 'type': ''}]","{'os_match': 'unknown', 'os_accuracy': 0, 'os_type': 'unknown', 'os_vendor': 'unknown', 'os_family': 'unknown', 'os_generation': 'unknown'}",[],0,unknown
192.168.1.127,up,"[{'name': 'SYSTEM01.lan', 'type': 'PTR'}]","{'os_match': 'Microsoft Windows 10 1803', 'os_accuracy': 97, 'os_type': 'general purpose', 'os_vendor': 'Microsoft', 'os_family': 'Windows', 'os_generation': '10'}","[{'port': 135, 'protocol': 'tcp', 'state': 'open', 'service': 'msrpc', 'service_details': 'msrpc ( (Microsoft Windows RPC)', 'product': 'Microsoft Windows RPC', 'version': '', 'extra_info': '', 'tunnel_type': '', 'ip_address': '192.168.1.127'}, {'port': 139, 'protocol': 'tcp', 'state': 'open', 'service': 'netbios-ssn', 'service_details': 'netbios-ssn ( (Microsoft Windows netbios-ssn)', 'product': 'Microsoft Windows netbios-ssn', 'version': '', 'extra_info': '', 'tunnel_type': '', 'ip_address': '192.168.1.127'}, {'port': 445, 'protocol': 'tcp', 'state': 'open', 'service': 'microsoft-ds', 'service_details': 'microsoft-ds', 'product': '', 'version': '', 'extra_info': '', 'tunnel_type': '', 'ip_address': '192.168.1.127'}]",3,domain_controller
192.168.1.130,up,"[{'name': '', 'type': ''}]","{'os_match': 'unknown', 'os_accuracy': 0, 'os_type': 'unknown', 'os_vendor': 'unknown', 'os_family': 'unknown', 'os_generation': 'unknown'}",[],0,unknown
192.168.1.145,up,"[{'name': 'RPT013.lan', 'type': 'PTR'}]","{'os_match': 'Acme Packet Net-Net 4250 VoIP session border controller', 'os_accuracy': 100, 'os_type': 'firewall', 'os_vendor': 'Acme Packet', 'os_family': 'embedded', 'os_generation': None}",[],0,unknown
192.168.1.152,up,"[{'name': 'BRWDCE99452FC3A.lan', 'type': 'PTR'}]","{'os_match': 'Brother or HP printer (VxWorks)', 'os_accuracy': 100, 'os_type': 'printer', 'os_vendor': 'Wind River', 'os_family': 'VxWorks', 'os_generation': None}","[{'port': 80, 'protocol': 'tcp', 'state': 'open', 'service': 'http', 'service_details': 'http ( (Debut embedded httpd 1.30; Brother/HP printer http admin)', 'product': 'Debut embedded httpd', 'version': '1.30', 'extra_info': 'Brother/HP printer http admin', 'tunnel_type': '', 'ip_address': '192.168.1.152'}, {'port': 443, 'protocol': 'tcp', 'state': 'open', 'service': 'http', 'service_details': 'http ( (Debut embedded httpd 1.30; Brother/HP printer http admin)', 'product': 'Debut embedded httpd', 'version': '1.30', 'extra_info': 'Brother/HP printer http admin', 'tunnel_type': '', 'ip_address': '192.168.1.152'}, {'port': 515, 'protocol': 'tcp', 'state': 'open', 'service': 'printer', 'service_details': 'printer', 'product': '', 'version': '', 'extra_info': '', 'tunnel_type': '', 'ip_address': '192.168.1.152'}, {'port': 631, 'protocol': 'tcp', 'state': 'open', 'service': 'http', 'service_details': 'http ( (Debut embedded httpd 1.30; Brother/HP printer http admin)', 'product': 'Debut embedded httpd', 'version': '1.30', 'extra_info': 'Brother/HP printer http admin', 'tunnel_type': '', 'ip_address': '192.168.1.152'}]",4,web_server
192.168.1.154,up,"[{'name': 'SYSTEM04.lan', 'type': 'PTR'}]","{'os_match': 'Microsoft Windows 10 1903 - 21H1', 'os_accuracy': 97, 'os_type': 'general purpose', 'os_vendor': 'Microsoft', 'os_family': 'Windows', 'os_generation': '10'}","[{'port': 135, 'protocol': 'tcp', 'state': 'open', 'service': 'msrpc', 'service_details': 'msrpc ( (Microsoft Windows RPC)', 'product': 'Microsoft Windows RPC', 'version': '', 'extra_info': '', 'tunnel_type': '', 'ip_address': '192.168.1.154'}, {'port': 139, 'protocol': 'tcp', 'state': 'open', 'service': 'netbios-ssn', 'service_details': 'netbios-ssn ( (Microsoft Windows netbios-ssn)', 'product': 'Microsoft Windows netbios-ssn', 'version': '', 'extra_info': '', 'tunnel_type': '', 'ip_address': '192.168.1.154'}, {'port': 445, 'protocol': 'tcp', 'state': 'open', 'service': 'microsoft-ds', 'service_details': 'microsoft-ds', 'product': '', 'version': '', 'extra_info': '', 'tunnel_type': '', 'ip_address': '192.168.1.154'}]",3,domain_controller
192.168.1.197,up,"[{'name': 'SYSTEM03-131.lan', 'type': 'PTR'}]","{'os_match': 'Microsoft Windows 11 21H2', 'os_accuracy': 96, 'os_type': 'general purpose', 'os_vendor': 'Microsoft', 'os_family': 'Windows', 'os_generation': '11'}","[{'port': 135, 'protocol': 'tcp', 'state': 'open', 'service': 'msrpc', 'service_details': 'msrpc ( (Microsoft Windows RPC)', 'product': 'Microsoft Windows RPC', 'version': '', 'extra_info': '', 'tunnel_type': '', 'ip_address': '192.168.1.197'}, {'port': 139, 'protocol': 'tcp', 'state': 'open', 'service': 'netbios-ssn', 'service_details': 'netbios-ssn ( (Microsoft Windows netbios-ssn)', 'product': 'Microsoft Windows netbios-ssn', 'version': '', 'extra_info': '', 'tunnel_type': '', 'ip_address': '192.168.1.197'}, {'port': 445, 'protocol': 'tcp', 'state': 'open', 'service': 'microsoft-ds', 'service_details': 'microsoft-ds', 'product': '', 'version': '', 'extra_info': '', 'tunnel_type': '', 'ip_address': '192.168.1.197'}]",3,domain_controller
192.168.1.220,up,"[{'name': 'SYSTEM03.lan', 'type': 'PTR'}]","{'os_match': 'Microsoft Windows 10 1607 - 11 23H2', 'os_accuracy': 100, 'os_type': 'general purpose', 'os_vendor': 'Microsoft', 'os_family': 'Windows', 'os_generation': '10'}","[{'port': 135, 'protocol': 'tcp', 'state': 'open', 'service': 'msrpc', 'service_details': 'msrpc ( (Microsoft Windows RPC)', 'product': 'Microsoft Windows RPC', 'version': '', 'extra_info': '', 'tunnel_type': '', 'ip_address': '192.168.1.220'}, {'port': 139, 'protocol': 'tcp', 'state': 'open', 'service': 'netbios-ssn', 'service_details': 'netbios-ssn ( (Microsoft Windows netbios-ssn)', 'product': 'Microsoft Windows netbios-ssn', 'version': '', 'extra_info': '', 'tunnel_type': '', 'ip_address': '192.168.1.220'}, {'port': 445, 'protocol': 'tcp', 'state': 'open', 'service': 'microsoft-ds', 'service_details': 'microsoft-ds', 'product': '', 'version': '', 'extra_info': '', 'tunnel_type': '', 'ip_address': '192.168.1.220'}]",3,domain_controller
192.168.1.233,up,"[{'name': '', 'type': ''}]","{'os_match': 'unknown', 'os_accuracy': 0, 'os_type': 'unknown', 'os_vendor': 'unknown', 'os_family': 'unknown', 'os_generation': 'unknown'}",[],0,unknown
192.168.1.64,up,"[{'name': 'iPhone.lan', 'type': 'PTR'}]","{'os_match': 'unknown', 'os_accuracy': 0, 'os_type': 'unknown', 'os_vendor': 'unknown', 'os_family': 'unknown', 'os_generation': 'unknown'}","[{'port': 853, 'protocol': 'tcp', 'state': 'open', 'service': 'tcpwrapped', 'service_details': 'tcpwrapped', 'product': '', 'version': '', 'extra_info': '', 'tunnel_type': '', 'ip_address': '192.168.1.64'}]",1,unknown
192.168.1.74,up,"[{'name': 'Nest-Cam.lan', 'type': 'PTR'}]","{'os_match': 'unknown', 'os_accuracy': 0, 'os_type': 'unknown', 'os_vendor': 'unknown', 'os_family': 'unknown', 'os_generation': 'unknown'}",[],0,unknown
192.168.1.82,up,"[{'name': 'RingStickUpCam-e6.lan', 'type': 'PTR'}]","{'os_match': 'Meross smart light bulb', 'os_accuracy': 100, 'os_type': 'specialized', 'os_vendor': 'Meross', 'os_family': 'embedded', 'os_generation': None}",[],0,unknown
192.168.1.84,up,"[{'name': '', 'type': ''}]","{'os_match': 'Microsoft Windows 11 21H2', 'os_accuracy': 95, 'os_type': 'general purpose', 'os_vendor': 'Microsoft', 'os_family': 'Windows', 'os_generation': '11'}","[{'port': 135, 'protocol': 'tcp', 'state': 'open', 'service': 'msrpc', 'service_details': 'msrpc ( (Microsoft Windows RPC)', 'product': 'Microsoft Windows RPC', 'version': '', 'extra_info': '', 'tunnel_type': '', 'ip_address': '192.168.1.84'}, {'port': 139, 'protocol': 'tcp', 'state': 'open', 'service': 'netbios-ssn', 'service_details': 'netbios-ssn ( (Microsoft Windows netbios-ssn)', 'product': 'Microsoft Windows netbios-ssn', 'version': '', 'extra_info': '', 'tunnel_type': '', 'ip_address': '192.168.1.84'}, {'port': 445, 'protocol': 'tcp', 'state': 'open', 'service': 'microsoft-ds', 'service_details': 'microsoft-ds ( (Windows 10 Pro 22631 microsoft-ds; workgroup: WORKGROUP)', 'product': 'Windows 10 Pro 22631 microsoft-ds', 'version': '', 'extra_info': 'workgroup: WORKGROUP', 'tunnel_type': '', 'ip_address': '192.168.1.84'}]",3,domain_controller
192.168.1.85,up,"[{'name': 'RingStickUpCam-46.lan', 'type': 'PTR'}]","{'os_match': 'Meross smart light bulb', 'os_accuracy': 100, 'os_type': 'specialized', 'os_vendor': 'Meross', 'os_family': 'embedded', 'os_generation': None}",[],0,unknown
