ip_address,status,hostnames,os_info,ports,services,device_type,open_ports_count
192.168.1.1,up,"[{'name': 'SAX1V1K.lan', 'type': 'PTR'}]","{'os_match': 'unknown', 'os_accuracy': 0, 'os_type': 'unknown', 'os_vendor': 'unknown', 'os_family': 'unknown', 'os_generation': 'unknown'}",[],[],unknown,0
192.168.1.103,up,"[{'name': '', 'type': ''}]","{'os_match': 'unknown', 'os_accuracy': 0, 'os_type': 'unknown', 'os_vendor': 'unknown', 'os_family': 'unknown', 'os_generation': 'unknown'}",[],[],unknown,0
192.168.1.104,up,"[{'name': '', 'type': ''}]","{'os_match': 'unknown', 'os_accuracy': 0, 'os_type': 'unknown', 'os_vendor': 'unknown', 'os_family': 'unknown', 'os_generation': 'unknown'}",[],[],unknown,0
192.168.1.123,up,"[{'name': '', 'type': ''}]","{'os_match': 'unknown', 'os_accuracy': 0, 'os_type': 'unknown', 'os_vendor': 'unknown', 'os_family': 'unknown', 'os_generation': 'unknown'}",[],[],unknown,0
192.168.1.127,up,"[{'name': 'SYSTEM01.lan', 'type': 'PTR'}]","{'os_match': 'unknown', 'os_accuracy': 0, 'os_type': 'unknown', 'os_vendor': 'unknown', 'os_family': 'unknown', 'os_generation': 'unknown'}",[],[],unknown,0
192.168.1.130,up,"[{'name': '', 'type': ''}]","{'os_match': 'unknown', 'os_accuracy': 0, 'os_type': 'unknown', 'os_vendor': 'unknown', 'os_family': 'unknown', 'os_generation': 'unknown'}",[],[],unknown,0
192.168.1.145,up,"[{'name': 'RPT013.lan', 'type': 'PTR'}]","{'os_match': 'unknown', 'os_accuracy': 0, 'os_type': 'unknown', 'os_vendor': 'unknown', 'os_family': 'unknown', 'os_generation': 'unknown'}",[],[],unknown,0
192.168.1.152,up,"[{'name': 'BRWDCE99452FC3A.lan', 'type': 'PTR'}]","{'os_match': 'unknown', 'os_accuracy': 0, 'os_type': 'unknown', 'os_vendor': 'unknown', 'os_family': 'unknown', 'os_generation': 'unknown'}",[],[],unknown,0
192.168.1.154,up,"[{'name': 'SYSTEM04.lan', 'type': 'PTR'}]","{'os_match': 'unknown', 'os_accuracy': 0, 'os_type': 'unknown', 'os_vendor': 'unknown', 'os_family': 'unknown', 'os_generation': 'unknown'}",[],[],unknown,0
192.168.1.168,up,"[{'name': '', 'type': ''}]","{'os_match': 'unknown', 'os_accuracy': 0, 'os_type': 'unknown', 'os_vendor': 'unknown', 'os_family': 'unknown', 'os_generation': 'unknown'}",[],[],unknown,0
192.168.1.197,up,"[{'name': 'SYSTEM03-135.lan', 'type': 'PTR'}]","{'os_match': 'unknown', 'os_accuracy': 0, 'os_type': 'unknown', 'os_vendor': 'unknown', 'os_family': 'unknown', 'os_generation': 'unknown'}",[],[],unknown,0
192.168.1.220,up,"[{'name': 'SYSTEM03.lan', 'type': 'PTR'}]","{'os_match': 'unknown', 'os_accuracy': 0, 'os_type': 'unknown', 'os_vendor': 'unknown', 'os_family': 'unknown', 'os_generation': 'unknown'}",[],[],unknown,0
192.168.1.64,up,"[{'name': 'iPhone.lan', 'type': 'PTR'}]","{'os_match': 'unknown', 'os_accuracy': 0, 'os_type': 'unknown', 'os_vendor': 'unknown', 'os_family': 'unknown', 'os_generation': 'unknown'}",[],[],unknown,0
192.168.1.74,up,"[{'name': 'Nest-Cam.lan', 'type': 'PTR'}]","{'os_match': 'unknown', 'os_accuracy': 0, 'os_type': 'unknown', 'os_vendor': 'unknown', 'os_family': 'unknown', 'os_generation': 'unknown'}",[],[],unknown,0
192.168.1.82,up,"[{'name': 'RingStickUpCam-e6.lan', 'type': 'PTR'}]","{'os_match': 'unknown', 'os_accuracy': 0, 'os_type': 'unknown', 'os_vendor': 'unknown', 'os_family': 'unknown', 'os_generation': 'unknown'}",[],[],unknown,0
192.168.1.84,up,"[{'name': '', 'type': ''}]","{'os_match': 'unknown', 'os_accuracy': 0, 'os_type': 'unknown', 'os_vendor': 'unknown', 'os_family': 'unknown', 'os_generation': 'unknown'}",[],[],unknown,0
