ip_address,status,hostnames,os_info,ports,services,device_type,open_ports_count
192.168.1.1,up,"[{'name': 'SAX1V1K.lan', 'type': 'PTR'}]","{'os_match': 'unknown', 'os_accuracy': 80, 'os_type': 'Network Infrastructure', 'os_vendor': 'Microsoft', 'os_family': 'Network Device', 'os_generation': 'unknown'}","[{'port': 80, 'protocol': 'tcp', 'state': 'open', 'service': 'http', 'service_details': 'http (lighttpd 1.4.59)', 'ip_address': '192.168.1.1'}, {'port': 443, 'protocol': 'tcp', 'state': 'open', 'service': 'http', 'service_details': 'http (lighttpd 1.4.59)', 'ip_address': '192.168.1.1'}]","[{'name': 'http', 'product': 'lighttpd', 'version': '1.4.59', 'extra_info': '', 'tunnel': ''}, {'name': 'http', 'product': 'lighttpd', 'version': '1.4.59', 'extra_info': '', 'tunnel': ''}]",unknown,2
192.168.1.103,up,"[{'name': '', 'type': ''}]","{'os_match': 'unknown', 'os_accuracy': 80, 'os_type': 'Network Infrastructure', 'os_vendor': 'Microsoft', 'os_family': 'Network Device', 'os_generation': 'unknown'}",[],[],unknown,0
192.168.1.104,up,"[{'name': '', 'type': ''}]","{'os_match': 'unknown', 'os_accuracy': 80, 'os_type': 'Network Infrastructure', 'os_vendor': 'Microsoft', 'os_family': 'Network Device', 'os_generation': 'unknown'}",[],[],unknown,0
192.168.1.123,up,"[{'name': '', 'type': ''}]","{'os_match': 'unknown', 'os_accuracy': 80, 'os_type': 'Network Infrastructure', 'os_vendor': 'Microsoft', 'os_family': 'Network Device', 'os_generation': 'unknown'}",[],[],unknown,0
192.168.1.127,up,"[{'name': 'SYSTEM01.lan', 'type': 'PTR'}]","{'os_match': 'unknown', 'os_accuracy': 80, 'os_type': 'Network Infrastructure', 'os_vendor': 'Microsoft', 'os_family': 'Network Device', 'os_generation': 'unknown'}","[{'port': 139, 'protocol': 'tcp', 'state': 'open', 'service': 'netbios-ssn', 'service_details': 'netbios-ssn (Microsoft Windows netbios-ssn)', 'ip_address': '192.168.1.127'}, {'port': 445, 'protocol': 'tcp', 'state': 'open', 'service': 'microsoft-ds', 'service_details': 'microsoft-ds', 'ip_address': '192.168.1.127'}]","[{'name': 'netbios-ssn', 'product': 'Microsoft Windows netbios-ssn', 'version': '', 'extra_info': '', 'tunnel': ''}]",unknown,2
192.168.1.130,up,"[{'name': '', 'type': ''}]","{'os_match': 'unknown', 'os_accuracy': 80, 'os_type': 'Network Infrastructure', 'os_vendor': 'Microsoft', 'os_family': 'Network Device', 'os_generation': 'unknown'}",[],[],unknown,0
192.168.1.145,up,"[{'name': 'RPT013.lan', 'type': 'PTR'}]","{'os_match': 'unknown', 'os_accuracy': 80, 'os_type': 'Network Infrastructure', 'os_vendor': 'Microsoft', 'os_family': 'Network Device', 'os_generation': 'unknown'}","[{'port': 23, 'protocol': 'tcp', 'state': 'open', 'service': 'telnet', 'service_details': 'telnet', 'ip_address': '192.168.1.145'}]",[],unknown,1
192.168.1.152,up,"[{'name': 'BRWDCE99452FC3A.lan', 'type': 'PTR'}]","{'os_match': 'unknown', 'os_accuracy': 80, 'os_type': 'Network Infrastructure', 'os_vendor': 'Microsoft', 'os_family': 'Network Device', 'os_generation': 'unknown'}","[{'port': 80, 'protocol': 'tcp', 'state': 'open', 'service': 'http', 'service_details': 'http (Debut embedded httpd 1.30; Brother/HP printer http admin)', 'ip_address': '192.168.1.152'}, {'port': 443, 'protocol': 'tcp', 'state': 'open', 'service': 'http', 'service_details': 'http (Debut embedded httpd 1.30; Brother/HP printer http admin)', 'ip_address': '192.168.1.152'}]","[{'name': 'http', 'product': 'Debut embedded httpd', 'version': '1.30', 'extra_info': 'Brother/HP printer http admin', 'tunnel': ''}, {'name': 'http', 'product': 'Debut embedded httpd', 'version': '1.30', 'extra_info': 'Brother/HP printer http admin', 'tunnel': ''}]",unknown,2
192.168.1.154,up,"[{'name': 'SYSTEM04.lan', 'type': 'PTR'}]","{'os_match': 'unknown', 'os_accuracy': 80, 'os_type': 'Network Infrastructure', 'os_vendor': 'Microsoft', 'os_family': 'Network Device', 'os_generation': 'unknown'}","[{'port': 139, 'protocol': 'tcp', 'state': 'open', 'service': 'netbios-ssn', 'service_details': 'netbios-ssn (Microsoft Windows netbios-ssn)', 'ip_address': '192.168.1.154'}, {'port': 445, 'protocol': 'tcp', 'state': 'open', 'service': 'microsoft-ds', 'service_details': 'microsoft-ds', 'ip_address': '192.168.1.154'}]","[{'name': 'netbios-ssn', 'product': 'Microsoft Windows netbios-ssn', 'version': '', 'extra_info': '', 'tunnel': ''}]",unknown,2
192.168.1.197,up,"[{'name': 'SYSTEM03-8.lan', 'type': 'PTR'}]","{'os_match': 'unknown', 'os_accuracy': 80, 'os_type': 'Network Infrastructure', 'os_vendor': 'Microsoft', 'os_family': 'Network Device', 'os_generation': 'unknown'}","[{'port': 139, 'protocol': 'tcp', 'state': 'open', 'service': 'netbios-ssn', 'service_details': 'netbios-ssn (Microsoft Windows netbios-ssn)', 'ip_address': '192.168.1.197'}, {'port': 445, 'protocol': 'tcp', 'state': 'open', 'service': 'microsoft-ds', 'service_details': 'microsoft-ds', 'ip_address': '192.168.1.197'}]","[{'name': 'netbios-ssn', 'product': 'Microsoft Windows netbios-ssn', 'version': '', 'extra_info': '', 'tunnel': ''}]",unknown,2
